date,lang,label_GR,v2_NWO,subplatform,counts,platform
2013-01-28,eng,0,0,WP,2,legnews
2013-01-29,eng,0,0,WP,3,legnews
2013-01-30,eng,0,0,WP,3,legnews
2013-01-30,eng,1,0,WP,2,legnews
2013-01-31,eng,0,0,WP,5,legnews
2013-02-01,eng,0,0,WP,4,legnews
2013-02-02,eng,0,0,WP,1,legnews
2013-02-03,eng,0,0,WP,3,legnews
2013-02-03,eng,1,0,WP,1,legnews
2013-02-04,eng,0,0,WP,1,legnews
2013-02-05,eng,0,0,WP,2,legnews
2013-02-07,eng,0,0,WP,5,legnews
2013-02-08,eng,0,0,WP,7,legnews
2013-02-09,eng,0,0,WP,1,legnews
2013-02-10,eng,0,0,WP,9,legnews
2013-02-10,eng,1,0,WP,1,legnews
2013-02-11,eng,0,0,WP,1,legnews
2013-02-12,eng,0,0,WP,3,legnews
2013-02-13,eng,0,0,WP,2,legnews
2013-02-14,eng,0,0,WP,6,legnews
2013-02-15,eng,0,0,WP,3,legnews
2013-02-16,eng,0,0,WP,1,legnews
2013-02-17,eng,0,0,WP,3,legnews
2013-02-17,eng,1,0,WP,1,legnews
2013-02-19,eng,0,0,WP,2,legnews
2013-02-20,eng,0,0,WP,2,legnews
2013-02-20,eng,1,0,WP,1,legnews
2013-02-21,eng,0,0,WP,7,legnews
2013-02-22,eng,0,0,WP,3,legnews
2013-02-22,eng,1,0,WP,1,legnews
2013-02-24,eng,0,0,WP,3,legnews
2013-02-25,eng,0,0,WP,1,legnews
2013-02-26,eng,0,0,WP,2,legnews
2013-02-28,eng,0,0,WP,7,legnews
2013-03-01,eng,0,0,WP,2,legnews
2013-03-02,eng,1,0,WP,1,legnews
2013-03-03,eng,0,0,WP,2,legnews
2013-03-03,eng,1,0,WP,1,legnews
2013-03-05,eng,0,0,WP,2,legnews
2013-03-06,eng,0,0,WP,1,legnews
2013-03-07,eng,0,0,WP,8,legnews
2013-03-07,eng,1,0,WP,1,legnews
2013-03-08,eng,0,0,WP,3,legnews
2013-03-09,eng,0,0,WP,2,legnews
2013-03-10,eng,0,0,WP,2,legnews
2013-03-10,eng,0,1,WP,1,legnews
2013-03-11,eng,0,0,WP,2,legnews
2013-03-12,eng,0,0,WP,1,legnews
2013-03-13,eng,0,1,WP,1,legnews
2013-03-13,eng,1,0,WP,1,legnews
